"","valence","year","acousticness","artists","danceability","duration_ms","energy","explicit","id","instrumentalness","key","liveness","loudness","mode","name","popularity","release_date","speechiness","tempo"
"129081",0.313,1961,0.828,"['Dinah Washington']",0.329,150160,0.171,0,"1cNQmsHi40PofNelCGCNGI",0.00105,1,0.127,-13.935,1,"I'll Come Back For More",14,"1961-01-01",0.0316,74.661
"117793",0.89,1984,0.585,"['Madonna']",0.875,271307,0.597,0,"0S9EixwOfXC0LyILi8kVFh",1.76e-05,9,0.0706,-11.916,0,"Pretender",34,"1984-11-12",0.0335,111.047
"163443",0.238,1984,2.86e-05,"['W.A.S.P.']",0.22,236240,0.878,1,"5kI3vUpeHX3Y8EgzYHhCLX",0.0168,5,0.277,-7.398,0,"The Torture Never Stops",29,"1984",0.103,156.059
"170418",0.355,2019,0.896,"['Lana Del Rey']",0.674,247148,0.205,0,"5DSi7heBC8eTIFROBvttnp",0.0272,2,0.114,-14.173,1,"Season Of The Witch",63,"2019-08-09",0.0399,95.984
"15523",0.76,1999,0.0352,"['702']",0.705,166693,0.725,0,"4VSyH8AkIt3kaR5xIPFVVi",0.0149,4,0.194,-7.435,1,"Where My Girls At",59,"1999-01-01",0.0506,92.186
"159186",0.691,1963,0.947,"['Patsy Cline', 'The Jordanaires']",0.556,120867,0.131,0,"5QXWmCpTKZzYas4fKKAkUY",0,0,0.112,-17.868,1,"Walkin' After Midnight",13,"1963-06-10",0.0346,103.143
"14574",0.407,1994,0.5,"['Nirvana']",0.569,263227,0.579,0,"3bH8PZsfbCRIoeNiFm7JmU",2.79e-05,1,0.109,-10.988,1,"All Apologies",60,"1994-11-01",0.0716,108.998
"120197",0.737,1996,0.0814,"['Bill Anderson']",0.66,160440,0.378,0,"1LWocjmlZPQjwfFV4cJ6HV",4.67e-05,9,0.11,-12.857,1,"Bright Lights And Country Music - Re-Recorded In Stereo",36,"1996-10-29",0.0292,135.391
"169131",0.174,2013,0.926,"['Mandolin Orange']",0.441,196533,0.2,0,"1wTEU95kyZFCj5d6cUIysf",0.0188,7,0.0864,-10.953,1,"House of Stone",47,"2013-08-20",0.0287,82.282
"57198",0.451,2019,0.214,"['Juice WRLD']",0.583,192094,0.815,1,"3usM520kfIRpWNaYOwdnYI",0,7,0.413,-4.257,1,"Rider",68,"2019-03-08",0.0365,140.031
"43071",0.046,1949,0.837,"['Sarah Vaughan']",0.136,161400,0.247,0,"2PD5RQiMV0bDXPDQukDM9y",0,10,0.164,-13.646,1,"Pinky",9,"1949",0.0376,187.34
"134103",0.272,1986,0.522,"['Billy Joel']",0.425,253053,0.398,0,"5p10hALrmUcjeGjPU4TJ6c",0,0,0.101,-10.544,1,"Temptation",28,"1986-07-28",0.0302,178.15
"1203",0.801,1927,0.995,"['Ignacio Corsini']",0.54,173480,0.387,0,"2EQcrI3nWVhsgDiKXZJCQ9",0.711,7,0.115,-19.832,1,"Mis Harapos - Remasterizado",0,"1927-05-14",0.0442,126.711
"129539",0.325,1963,0.855,"['Herbie Hancock']",0.621,395467,0.445,0,"27f0Yf20I6CITv7q1BwEr3",0.0214,5,0.0841,-9.754,0,"And What If I Don't Know - Remastered 1999",17,"1963-03-19",0.0453,110.561
"168456",0.861,2010,0.876,"['Bo Burnham']",0.523,188867,0.65,1,"3abyiZgVtNR9vkFRXpsVQb",0,9,0.698,-6.911,1,"Ironic",45,"2010-10-19",0.336,89.816
"32145",0.484,1988,0.02,"['Will To Power']",0.625,247200,0.435,0,"0kzSooCGpuphLwn8iTuO9h",0.00243,7,0.201,-12.02,1,"Baby, I Love Your Way/Freebird",56,"1988-08-09",0.0286,150.829
"150503",0.902,1994,0.725,"['The Kendalls']",0.617,153867,0.638,0,"0bMugNnsdbGA2uLNCw81K0",0,6,0.071,-8.001,1,"Heaven's Just A Sin Away - Re-Recorded In Stereo",34,"1994-04-05",0.0297,152.816
"78076",0.825,1948,0.994,"['Sahana Maitra']",0.747,191019,0.124,0,"32yiR4x8aD7thZi9B0Yw5H",0.000124,5,0.135,-8.376,0,"Charkha Kato To Beda Paar Hai",0,"1948-12-31",0.214,112.355
"90859",0.885,2013,0.00814,"['The 1975']",0.705,202296,0.83,1,"424ml6U1wmEarzw26uDtCS",0.00135,2,0.0762,-4.918,1,"Heart Out",51,"2013",0.0274,118.446
"167283",0.135,2004,0.502,"['F.I.R.']",0.509,287027,0.646,0,"0Q4YuuiCuxIIKUw2fb1cmV",1.23e-05,5,0.0989,-4.051,0,"我們的愛",55,"2004-04-30",0.0301,136.054
"84594",0.152,1981,0.813,"['John Williams', 'London Symphony Orchestra']",0.31,411827,0.346,0,"3JHiyPyEGfdFlAgbX0iS7M",0.91,0,0.107,-11.232,1,"Washington Ending / Raiders March",34,"1981-01-01",0.0392,131.117
"129298",0.777,1962,0.891,"['Ahmad Jamal']",0.681,260520,0.224,0,"4G2eNwMZLCVCwwpifZ4iRW",0.924,1,0.155,-20.353,1,"Falling In Love With Love - Live At The Blackhawk, San Francisco/1961",11,"1962-11-11",0.0416,99.796
"26319",0.647,1958,0.867,"['Bo Diddley']",0.72,184373,0.206,0,"3BnfMMWFkPFpgI41mHWOKf",1.18e-05,11,0.129,-16.428,0,"Before You Accuse Me (Take A Look At Yourself)",29,"1958-01-01",0.0462,107.806
"93311",0.456,1940,0.989,"['Giorgos Papasideris']",0.397,203827,0.299,0,"2NPfhRPcRkG8EKqxOdDECk",0.0562,5,0.378,-10.559,1,"Dervenakia",0,"1940-01-01",0.0422,62.684
"88835",0.365,2003,0.0635,"['Julieta Venegas']",0.64,240120,0.6,0,"7mJG18yZGq0aXKWNtK3FQf",8.48e-05,4,0.0925,-7.997,0,"Algo Está Cambiando",57,"2003-11-18",0.0359,87.008
"20398",0.662,1928,0.992,"['Paul Whiteman']",0.473,181800,0.154,0,"0skgypDYFLZKdHXjCXH8ZT",0.0507,9,0.215,-17.554,0,"Marianne",0,"1928",0.063,183.328
"5339",0.937,1948,0.994,"['Johnny Green', 'MGM Studio Orchestra']",0.633,66573,0.144,0,"4DZ40512IFfVjjK7Xf6V3O",0.907,0,0.147,-20.112,1,"Roof Garden - Drum Crazy Reprise",6,"1948-07-08",0.0402,96.411
"152016",0.619,2001,0.00583,"['Long Beach Dub Allstars']",0.642,194867,0.931,0,"6K8hK9VfSqlOWby6v4O0a8",2.32e-05,9,0.0942,-2.236,1,"Rolled Up",39,"2001-01-01",0.0847,97.126
"92088",0.543,2019,0.16,"['Brantley Gilbert', 'Colt Ford', 'Lukas Nelson', 'Willie Nelson']",0.629,181173,0.658,0,"39TYRr1lPpurfYPXzsOiBV",0,6,0.245,-6.703,0,"Welcome To Hazeville",63,"2019-10-04",0.0463,131.958
"131818",0.704,1975,0.0455,"['Waylon Jennings']",0.57,149493,0.305,0,"7rCxnDG0DY25cSiy6qrtSA",0.14,11,0.106,-10.636,1,"Let's Turn Back the Years",24,"1975-06-01",0.0258,81.475
"24372",0.594,1948,0.975,"['Franz Schubert', 'Jascha Heifetz']",0.485,138600,0.187,0,"0bVtm4K5lK6kvgh7df7LTE",0.239,10,0.207,-16.023,1,"Sonatina, D. 408/Op. 137, No. 3 in G Minor: Allegro moderato",0,"1948",0.0419,140.249
"75743",0.645,1929,0.0363,"['Эрих Мария Ремарк']",0.745,114800,0.186,1,"7nkJgLxd8XVjpQ8gKWzWte",0,10,0.183,-20.046,0,"Часть 105.2 - На Западном фронте без перемен",0,"1929",0.964,65.719
"50102",0.223,1984,0.0129,"['Cocteau Twins']",0.339,233160,0.677,0,"0N4JIfesak2J82auEiirwa",0.00162,2,0.105,-11.843,1,"Ivo",43,"1984-11-01",0.0453,187.622
"126989",0.485,1951,0.93,"['Umberto Giordano', 'Mario Rossi', 'Orchestra Lirica e Coro di Milano della RAI']",0.408,64506,0.246,0,"1yPEcs2QaAwQEI4HCaHfRA",0.0417,2,0.231,-17.298,1,"Portentoso!...",0,"1951",0.364,168.646
"165600",0.242,1995,9.36e-06,"['Fear Factory']",0.519,312653,0.976,0,"5W6lI8zmyhSd7xO10wEhwf",0.0594,11,0.257,-6.024,0,"Self Bias Resistor",39,"1995",0.0662,93.051
"86009",0.0798,1988,0.763,"['Henry Mancini', 'Mantovani']",0.128,160000,0.203,0,"2BpyzY3nIhoqF37Xh5TMr8",0.949,0,0.0944,-16.936,1,"Moon River - From ""Breakfast At Tiffanys""",42,"1988-01-01",0.0375,77.113
"129518",0.395,1963,0.932,"['Mose Allison']",0.723,179840,0.157,0,"6V6pXFdU5ucHN0xilIDZDb",0.00799,0,0.1,-14.465,1,"One Room Country Shack",17,"1963",0.0526,71.582
"159556",0.487,1965,0.702,"['Elvis Presley']",0.611,127693,0.308,0,"1wia2eBD8ELGfEUTGTaiIG",0.000214,7,0.0482,-12.785,1,"For the Millionth and the Last Time",22,"1965-07-19",0.0471,106.381
"63593",0.191,1962,0.601,"['John Coltrane']",0.524,451333,0.305,0,"02TxPNiAnPapRpRquJRFWO",0.279,11,0.0946,-16.051,1,"Mr. Knight",22,"1962-07",0.0402,91.061
"57471",0.276,1926,0.409,"['Georgette Heyer', 'Irina Salkow']",0.725,132141,0.124,0,"3XyxDIGxnrxlUb9NtygWQf",0,8,0.135,-21.536,0,"Kapitel 105 - Der Page und die Herzogin",1,"1926",0.931,122.101
"94027",0.178,1946,0.864,"['Pyotr Ilyich Tchaikovsky', 'Jascha Heifetz', 'Fritz Reiner', 'Chicago Symphony Orchestra']",0.314,951187,0.128,0,"4qgc0dP8mvoZvB6rdHFd8f",0.0368,7,0.0745,-20.246,1,"Violin Concerto in D Major, Op. 35: I. Allegro moderato",1,"1946",0.0428,92.706
"66294",0.788,1976,0.0388,"['Stanley Clarke']",0.477,470373,0.539,0,"0fuLT4IyhmLbbrKPqJqE80",0.777,11,0.154,-12.448,0,"School Days",41,"1976",0.05,142.859
"156098",0.434,1945,0.988,"['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']",0.381,40667,0.341,0,"5qlcuLOU3UzRxJyML8qNia",0.81,5,0.172,-14.106,1,"Rhapsody on a Theme of Paganini, Op.43: Variation XIV: L'istesso tempo",0,"1945",0.0428,157.065
"38527",0.68,2020,0.473,"['A Boogie Wit da Hoodie']",0.644,161765,0.587,1,"6cZH4rX1KTt1aJ3Ql6Ynja",0,7,0.0759,-6.736,0,"Me and My Guitar",76,"2020-02-14",0.353,173.972
"87061",0.711,1994,0.0126,"['Caifanes']",0.576,218173,0.859,0,"1bWcjMOceu7dFyBGBo3jJ9",8e-04,2,0.341,-8.22,1,"Miedo",53,"1994",0.034,130.011
"22135",0.643,1937,0.965,"[""Juan D'Arienzo""]",0.685,131971,0.221,0,"0eLR9TsbPggrIjbwLeXtz1",0.0107,2,0.184,-13.912,1,"El temblor (con Alberto Echague)",3,"1937-04-12",0.139,106.047
"164601",0.473,1990,0.787,"['Jose Mari Chan']",0.293,159333,0.265,0,"70xTqtDlOgFSQ9UK9SwIQB",8.58e-05,10,0.0912,-14.57,1,"Christmas Children",44,"1990",0.0379,201.421
